scenario,wc,year,util_pct_annual_avg
Exponential,WC_AMILL,2025,35.8
Exponential,WC_AMILL,2026,66.6
Exponential,WC_AMILL,2027,123.7
Exponential,WC_AMILL,2028,229.8
Exponential,WC_AMILL_HS,2025,62.5
Exponential,WC_AMILL_HS,2026,116.1
Exponential,WC_AMILL_HS,2027,215.7
Exponential,WC_AMILL_HS,2028,400.8
Exponential,WC_BW,2025,128.1
Exponential,WC_BW,2026,237.9
Exponential,WC_BW,2027,442.2
Exponential,WC_BW,2028,821.4
Exponential,WC_CMM,2025,47.5
Exponential,WC_CMM,2026,88.2
Exponential,WC_CMM,2027,164.0
Exponential,WC_CMM,2028,304.7
Exponential,WC_CONV,2025,15.0
Exponential,WC_CONV,2026,27.8
Exponential,WC_CONV,2027,51.7
Exponential,WC_CONV,2028,96.1
Exponential,WC_LATHE,2025,50.8
Exponential,WC_LATHE,2026,94.4
Exponential,WC_LATHE,2027,175.3
Exponential,WC_LATHE,2028,325.7
Exponential,WC_MMILL,2025,79.1
Exponential,WC_MMILL,2026,146.9
Exponential,WC_MMILL,2027,272.9
Exponential,WC_MMILL,2028,507.1
Exponential,WC_QC,2025,23.0
Exponential,WC_QC,2026,42.6
Exponential,WC_QC,2027,79.2
Exponential,WC_QC,2028,147.2
Exponential,WC_3DP,2025,16.8
Exponential,WC_3DP,2026,31.2
Exponential,WC_3DP,2027,58.1
Exponential,WC_3DP,2028,107.9
Exponential,WC_SAW,2025,7.1
Exponential,WC_SAW,2026,13.2
Exponential,WC_SAW,2027,24.6
Exponential,WC_SAW,2028,45.6
Exponential,WC_REWORK,2025,0.4
Exponential,WC_REWORK,2026,0.7
Exponential,WC_REWORK,2027,1.2
Exponential,WC_REWORK,2028,2.3
Linear,WC_AMILL,2025,33.3
Linear,WC_AMILL,2026,43.7
Linear,WC_AMILL,2027,54.1
Linear,WC_AMILL,2028,64.6
Linear,WC_AMILL_HS,2025,58.0
Linear,WC_AMILL_HS,2026,76.2
Linear,WC_AMILL_HS,2027,94.4
Linear,WC_AMILL_HS,2028,112.6
Linear,WC_BW,2025,118.9
Linear,WC_BW,2026,156.2
Linear,WC_BW,2027,193.4
Linear,WC_BW,2028,230.7
Linear,WC_CMM,2025,44.1
Linear,WC_CMM,2026,57.9
Linear,WC_CMM,2027,71.8
Linear,WC_CMM,2028,85.6
Linear,WC_CONV,2025,13.9
Linear,WC_CONV,2026,18.3
Linear,WC_CONV,2027,22.6
Linear,WC_CONV,2028,27.0
Linear,WC_LATHE,2025,47.1
Linear,WC_LATHE,2026,61.9
Linear,WC_LATHE,2027,76.7
Linear,WC_LATHE,2028,91.5
Linear,WC_MMILL,2025,73.4
Linear,WC_MMILL,2026,96.4
Linear,WC_MMILL,2027,119.4
Linear,WC_MMILL,2028,142.4
Linear,WC_QC,2025,21.3
Linear,WC_QC,2026,28.0
Linear,WC_QC,2027,34.7
Linear,WC_QC,2028,41.4
Linear,WC_3DP,2025,15.6
Linear,WC_3DP,2026,20.5
Linear,WC_3DP,2027,25.4
Linear,WC_3DP,2028,30.3
Linear,WC_SAW,2025,6.6
Linear,WC_SAW,2026,8.7
Linear,WC_SAW,2027,10.8
Linear,WC_SAW,2028,12.8
Linear,WC_REWORK,2025,0.3
Linear,WC_REWORK,2026,0.4
Linear,WC_REWORK,2027,0.5
Linear,WC_REWORK,2028,0.6
Logistic,WC_AMILL,2025,35.3
Logistic,WC_AMILL,2026,46.1
Logistic,WC_AMILL,2027,51.6
Logistic,WC_AMILL,2028,53.9
Logistic,WC_AMILL_HS,2025,61.5
Logistic,WC_AMILL_HS,2026,80.4
Logistic,WC_AMILL_HS,2027,90.0
Logistic,WC_AMILL_HS,2028,94.1
Logistic,WC_BW,2025,126.0
Logistic,WC_BW,2026,164.7
Logistic,WC_BW,2027,184.5
Logistic,WC_BW,2028,192.8
Logistic,WC_CMM,2025,46.8
Logistic,WC_CMM,2026,61.1
Logistic,WC_CMM,2027,68.4
Logistic,WC_CMM,2028,71.5
Logistic,WC_CONV,2025,14.7
Logistic,WC_CONV,2026,19.3
Logistic,WC_CONV,2027,21.6
Logistic,WC_CONV,2028,22.5
Logistic,WC_LATHE,2025,50.0
Logistic,WC_LATHE,2026,65.3
Logistic,WC_LATHE,2027,73.1
Logistic,WC_LATHE,2028,76.4
Logistic,WC_MMILL,2025,77.8
Logistic,WC_MMILL,2026,101.7
Logistic,WC_MMILL,2027,113.9
Logistic,WC_MMILL,2028,119.0
Logistic,WC_QC,2025,22.6
Logistic,WC_QC,2026,29.5
Logistic,WC_QC,2027,33.1
Logistic,WC_QC,2028,34.5
Logistic,WC_3DP,2025,16.6
Logistic,WC_3DP,2026,21.6
Logistic,WC_3DP,2027,24.2
Logistic,WC_3DP,2028,25.3
