wo_num,item_name,ord_qty,release_sim,due_sim,start_sim,finish_sim,lead_time,tardy,tardiness
WO-02278,ITEM-00214,2,62.0,119.0,62.0,91.0,29.0,False,0.0
WO-03075,ITEM-00852,15,64.0,114.0,64.0,91.0,27.0,False,0.0
WO-03338,ITEM-02115,25,75.0,118.0,75.0,91.0,16.0,False,0.0
WO-02422,ITEM-01675,91,75.0,118.0,75.0,91.0,16.0,False,0.0
WO-01872,ITEM-01675,100,75.0,118.0,75.0,91.0,16.0,False,0.0
WO-02530,ITEM-02163,15,79.0,100.0,79.0,91.0,12.0,False,0.0
WO-02531,ITEM-02164,15,79.0,100.0,79.0,91.0,12.0,False,0.0
WO-02198,ITEM-01906,1,79.0,100.0,79.0,91.0,12.0,False,0.0
WO-01900,ITEM-00214,2,63.0,120.0,63.0,91.0,28.0,False,0.0
WO-02296,ITEM-00214,2,65.0,124.0,65.0,91.0,26.0,False,0.0
WO-02709,ITEM-01406,1,70.0,134.0,70.0,91.0,21.0,False,0.0
WO-02428,ITEM-00936,10,84.0,105.0,84.0,91.0,7.0,False,0.0
WO-00463,ITEM-00514,2,5.0,96.0,5.0,91.0,86.0,False,0.0
WO-02452,ITEM-00039,1,49.0,113.0,49.0,91.03125,42.03125,False,0.0
WO-02680,ITEM-00039,1,50.0,114.0,50.0,91.03125,41.03125,False,0.0
WO-00358,ITEM-00394,48,54.0,125.0,54.0,91.03125,37.03125,False,0.0
WO-00290,ITEM-00158,30,78.0,99.0,78.0,91.03125,13.03125,False,0.0
WO-00289,ITEM-00158,30,79.0,106.0,79.0,91.03125,12.03125,False,0.0
WO-00643,ITEM-00175,30,72.0,117.0,72.0,91.03125,19.03125,False,0.0
WO-02660,ITEM-02210,22,77.0,149.0,77.0,91.03142361111111,14.031423611111109,False,0.0
WO-00071,ITEM-00121,11,61.0,118.0,61.0,91.03159722222222,30.031597222222217,False,0.0
WO-01706,ITEM-00121,1,61.0,118.0,61.0,91.03177083333333,30.031770833333326,False,0.0
WO-02275,ITEM-01569,2,76.0,119.0,76.0,91.0328125,15.032812500000006,False,0.0
WO-03061,ITEM-00554,7,76.0,126.0,76.0,91.04166666666667,15.041666666666671,False,0.0
WO-01578,ITEM-01424,50,82.0,111.0,82.0,91.04166666666667,9.041666666666671,False,0.0
WO-02524,ITEM-00793,15,76.0,126.0,76.0,91.04184027777778,15.04184027777778,False,0.0
WO-02610,ITEM-00918,24,49.0,127.0,49.0,91.04687499999999,42.046874999999986,False,0.0
WO-01270,ITEM-01213,10,75.0,118.0,75.0,91.0625,16.0625,False,0.0
WO-02913,ITEM-02327,200,76.0,126.0,76.0,91.07291666666667,15.072916666666671,False,0.0
WO-03625,ITEM-00862,10,83.0,104.0,83.0,91.07291666666667,8.072916666666671,False,0.0
WO-00925,ITEM-00923,30,70.0,113.0,70.0,91.07291666666667,21.07291666666667,False,0.0
WO-00245,ITEM-00223,1,84.0,120.0,84.0,91.07291666666667,7.072916666666671,False,0.0
WO-00246,ITEM-00223,6,84.0,120.0,84.0,91.07291666666667,7.072916666666671,False,0.0
WO-00300,ITEM-00306,10,70.0,149.0,70.0,91.07291666666667,21.07291666666667,False,0.0
WO-01505,ITEM-00039,1,54.0,118.0,54.0,91.07335416666668,37.073354166666675,False,0.0
WO-03170,ITEM-01296,200,77.0,120.0,77.0,91.07352777777778,14.073527777777784,False,0.0
WO-02312,ITEM-01181,12,47.0,132.0,47.0,91.09036805555556,44.09036805555556,False,0.0
WO-00259,ITEM-00275,8,63.0,147.0,63.0,91.10416666666667,28.10416666666667,False,0.0
WO-00391,ITEM-00428,5,77.0,166.0,77.0,91.10434027777778,14.10434027777778,False,0.0
WO-00436,ITEM-00424,60,70.0,113.0,70.0,91.16693055555558,21.16693055555558,False,0.0
WO-01096,ITEM-00566,60,68.0,154.0,68.0,91.20451388888887,23.20451388888887,False,0.0
WO-04687,ITEM-00566,60,68.0,154.0,68.0,91.24679166666667,23.246791666666667,False,0.0
WO-03912,ITEM-00832,6,26.0,132.0,26.0,91.35520833333335,65.35520833333335,False,0.0
WO-03301,ITEM-01500,74,70.0,166.0,70.0,91.41406249999999,21.414062499999986,False,0.0
WO-02515,ITEM-01357,40,79.0,117.0,79.0,91.41406249999999,12.414062499999986,False,0.0
WO-02671,ITEM-01608,50,82.0,139.0,82.0,91.41406249999999,9.414062499999986,False,0.0
WO-02471,ITEM-01006,30,62.0,140.0,62.0,91.43107638888891,29.43107638888891,False,0.0
WO-02761,ITEM-02245,4,62.0,140.0,62.0,91.43385416666668,29.433854166666677,False,0.0
WO-02681,ITEM-00039,1,51.0,117.0,51.0,91.45833333333333,40.45833333333333,False,0.0
WO-00556,ITEM-00174,16,75.0,132.0,75.0,91.47795138888888,16.477951388888883,False,0.0
WO-00695,ITEM-00751,110,70.0,166.0,70.0,91.5390625,21.5390625,False,0.0
WO-03827,ITEM-02118,80,83.0,140.0,83.0,91.5390625,8.5390625,False,0.0
WO-03843,ITEM-00718,10,42.0,113.0,42.0,91.54902083333332,49.549020833333316,False,0.0
WO-03340,ITEM-01865,1,76.0,119.0,76.0,91.56614583333332,15.566145833333323,False,0.0
WO-03298,ITEM-00166,5,70.0,156.0,70.0,91.74961805555557,21.749618055555572,False,0.0
WO-00977,ITEM-00963,12,70.0,156.0,70.0,91.74961805555557,21.749618055555572,False,0.0
WO-00966,ITEM-00191,10,79.0,124.0,79.0,91.84340277777777,12.843402777777769,False,0.0
WO-03884,ITEM-00286,3,78.0,122.0,78.0,91.85121527777775,13.851215277777754,False,0.0
WO-03071,ITEM-01434,10,75.0,173.0,75.0,91.88277777777779,16.88277777777779,False,0.0
WO-06223,ITEM-00675,5,75.0,162.0,75.0,92.12149305555556,17.12149305555556,False,0.0
WO-02313,ITEM-01175,15,68.0,111.0,68.0,92.18506944444444,24.185069444444437,False,0.0
WO-01408,ITEM-00492,1,50.0,114.0,50.0,92.49458333333331,42.49458333333331,False,0.0
WO-00878,ITEM-00025,30,64.0,121.0,64.0,92.50227777777779,28.502277777777792,False,0.0
