wo_num,item_name,ord_qty,release_sim,due_sim,start_sim,finish_sim,lead_time,tardy,tardiness
WO-02734,ITEM-02230,20,2.0,30.0,2.0,4.178125,2.1781249999999996,False,0.0
WO-00736,ITEM-00777,10,1.0,15.0,1.0,7.1671875,6.1671875,False,0.0
WO-01115,ITEM-00573,1,2.0,17.0,2.0,7.34375,5.34375,False,0.0
WO-00665,ITEM-00727,50,1.0,29.0,1.0,8.463194444444447,7.463194444444447,False,0.0
WO-01476,ITEM-01352,30,2.0,23.0,2.0,9.167013888888889,7.167013888888889,False,0.0
WO-00159,ITEM-00194,9,2.0,51.0,2.0,9.609895833333333,7.609895833333333,False,0.0
WO-00466,ITEM-00522,29,2.0,30.0,2.0,9.615416666666667,7.6154166666666665,False,0.0
WO-02943,ITEM-02343,9,8.0,29.0,8.0,10.03125,2.03125,False,0.0
WO-00467,ITEM-00525,100,1.0,29.0,1.0,10.428888888888888,9.428888888888888,False,0.0
WO-02512,ITEM-02154,13,1.0,36.0,1.0,10.492013888888888,9.492013888888888,False,0.0
WO-00404,ITEM-00459,6,2.0,30.0,2.0,10.647222222222226,8.647222222222226,False,0.0
WO-00354,ITEM-00390,7,5.0,19.0,5.0,11.160243055555554,6.160243055555554,False,0.0
WO-00339,ITEM-00371,10,1.0,15.0,1.0,11.1703125,10.1703125,False,0.0
WO-01353,ITEM-01287,5,1.0,15.0,1.0,11.191319444444444,10.191319444444444,False,0.0
WO-01022,ITEM-00993,6,1.0,15.0,1.0,11.219270833333333,10.219270833333333,False,0.0
WO-00724,ITEM-00522,32,5.0,33.0,5.0,11.72923611111111,6.72923611111111,False,0.0
WO-00802,ITEM-00831,7,1.0,13.0,1.0,12.0,11.0,False,0.0
WO-02349,ITEM-02027,100,5.0,61.0,5.0,12.0,7.0,False,0.0
WO-00116,ITEM-00158,51,1.0,16.0,1.0,14.03125,13.03125,False,0.0
WO-01719,ITEM-01549,20,1.0,43.0,1.0,14.052083333333334,13.052083333333334,False,0.0
WO-01039,ITEM-00867,7,1.0,50.0,1.0,14.104166666666666,13.104166666666666,False,0.0
WO-01040,ITEM-00554,7,1.0,50.0,1.0,14.104166666666666,13.104166666666666,False,0.0
WO-00603,ITEM-00173,10,6.0,27.0,6.0,14.316493055555554,8.316493055555554,False,0.0
WO-00846,ITEM-00862,10,6.0,27.0,6.0,14.567881944444444,8.567881944444444,False,0.0
WO-02439,ITEM-01103,40,1.0,36.0,1.0,14.567881944444444,13.567881944444444,False,0.0
WO-00604,ITEM-00663,3,6.0,20.0,6.0,14.608229166666666,8.608229166666666,False,0.0
WO-00799,ITEM-00828,6,6.0,27.0,6.0,14.608229166666666,8.608229166666666,False,0.0
WO-00867,ITEM-00879,128,2.0,44.0,2.0,14.633159722222222,12.633159722222222,False,0.0
WO-00800,ITEM-00829,6,6.0,27.0,6.0,14.665798611111112,8.665798611111112,False,0.0
WO-00332,ITEM-00363,3,9.0,23.0,9.0,14.699305555555554,5.699305555555554,False,0.0
WO-00122,ITEM-00162,75,5.0,40.0,5.0,14.837152777777776,9.837152777777776,False,0.0
WO-03158,ITEM-02435,27,1.0,50.0,1.0,14.889062499999998,13.889062499999998,False,0.0
